portfolio,alpha,beta_Mkt-RF,t_Mkt-RF,beta_SMB,t_SMB,beta_HML,t_HML,beta_TERM,t_TERM,beta_DEF,t_DEF,r_squared,r_squared_table1,r_squared_table3,r_squared_table4,type
ME3 BM1,-0.21114356543740864,1.111856763210694,41.84972768170608,0.8013498418334908,20.6909886853054,-0.38199608351194025,-8.223250402181396,-0.08260071112114635,-0.90760654345018,0.11175974711225534,0.45174039089974216,0.9110550645694216,0.7886538738508146,0.025970347141073047,0.9108310713880676,stock
ME3 BM2,-0.3448372951939061,1.078063054047872,44.335103690679446,0.719506504325806,20.298015675239338,0.027275652569748426,0.6415337756329917,-0.034181738282655985,-0.41036257682593746,0.541010370546057,2.3892900505972925,0.91341184180351,0.8015165545685334,0.04179339310750518,0.9118919315565058,stock
ME3 BM3,0.1368796891364093,1.0391482776910363,41.00892703232511,0.6665367169280346,18.04430900854981,0.22418403103003265,5.059951669900598,0.018502897017013922,0.21316242575466818,-0.07251436579485926,-0.30731563503231396,0.8958966194556791,0.7778041150670062,0.029548349202444646,0.8958632765579927,stock
ME3 BM4,0.10033973937554369,1.003826173403297,42.87030407809856,0.5543421230087682,16.24019437987547,0.5136015027374389,12.544840533944564,-0.07866959556592935,-0.9807876851552182,0.10212562809463488,0.46837370798736155,0.8986677986666871,0.7521402246978129,0.029411925531623195,0.8983717207930424,stock
ME3 BM5,0.48541562564897517,1.0463130799017692,42.285340798228624,0.6101647578046859,16.915724135313766,0.6481978663726873,14.982234431856986,-0.021850154861003977,-0.25778208846083633,-0.2692308103615727,-1.1684567931025664,0.8984773684612526,0.7216422271149534,0.023251054558191653,0.8979164708505804,stock
ME4 BM1,0.15986361540221747,1.1098346931695702,47.294650085741445,0.3575821309546225,10.453093176767947,-0.3961724314636211,-9.655589224772578,0.004507818034576762,0.05607769246330974,-0.09553623913657457,-0.43720143591380156,0.9119627017007143,0.8647236360459064,0.02740578254213899,0.911910007252176,stock
ME4 BM2,-0.3014577998351546,1.1178605006974378,43.10760938090719,0.3795843524459333,10.041299544578377,-8.084411834013462e-05,-0.0017830173439582037,-0.08800521029956168,-0.9907059037529758,0.3295651857691509,1.3647948491495514,0.8890298527992442,0.8538694245405649,0.034121172631324415,0.8883123528769239,stock
ME4 BM3,-0.14110758958244968,1.0708771910346127,44.62800524102537,0.3671801641956902,10.496930266345196,0.2548365731838139,6.0739382703011175,0.02466355660376892,0.30004994320767575,0.12248894693585335,0.5481815652202503,0.8935601906535541,0.8403273424002258,0.036848798926162885,0.8933795272984976,stock
ME4 BM4,0.47767058944815527,1.1234814428495237,41.52679560456058,0.29833214035140343,7.564458669232357,0.5278385533236135,11.158464480621854,0.05571860533495688,0.6012191317212152,-0.3904441026798531,-1.5498194368098226,0.8725914885752344,0.7942795354367624,0.026011399179425188,0.8716785880210004,stock
ME4 BM5,0.23259170245554014,1.1543782150337156,34.02507796061273,0.39817482413913263,8.050819632914612,0.7502229522799101,12.64684406950519,0.09448248606388909,0.8129659508351507,-0.2937840544191679,-0.9299057763245829,0.8318160183925545,0.7043144233789841,0.028159224450857057,0.8312446468301234,stock
BIG LoBM,0.38634775067073623,0.9766842045387721,52.24096547043054,-0.1443878173866984,-5.297889251067914,-0.4492271553188304,-13.742439761815872,0.03974640579860139,0.6206188046922446,-0.19946397652561887,-1.1457271961545397,0.915876061937661,0.8546549711647395,0.025807717685078946,0.9155326712665417,stock
ME5 BM2,-0.3028614272307729,1.038713225920931,51.80059573199923,-0.13463171426819184,-4.605764860332334,0.026985172276412353,0.7696709556912914,-0.04162381166490661,-0.6059697971603197,0.23983476907004753,1.2844315210013608,0.9019509283323524,0.8953859733004893,0.03514762508621361,0.9014604276537659,stock
ME5 BM3,0.15538639507991162,1.05277274490344,44.799963975808865,-0.1253900798271567,-3.660340642716099,0.22138599025731778,5.388079271901937,-0.07470136143871983,-0.9279863466374761,-0.22871415914101292,-1.0451913384004763,0.8682299841648744,0.8523391195531662,0.020324270017228918,0.8670663504507035,stock
ME5 BM4,0.22458477055759773,1.088116208967258,43.19753785363227,-0.1267782522665469,-3.4525801394187696,0.4995592915198731,11.342572545089494,-0.05101689693405098,-0.591245422495362,-0.24918832182678574,-1.0623585515872207,0.8590986846946884,0.8029231446015209,0.0214917462419707,0.8581916670137127,stock
BIG HiBM,-0.7758713633965896,1.192134009628976,35.80129740971154,-0.05717804267770033,-1.17792669851955,0.951430587100196,16.341488297226903,0.025420460765653827,0.222857443181593,0.4332375674134944,1.3972030175164913,0.8230806733562349,0.6786819526242129,0.0411094744936914,0.8217589110222656,stock
SHORT_TERM,0.011161370046129672,-0.0012077103825448036,-3.271207839580528,-0.00022220086027056085,-0.4144855891771408,-0.000869765640303013,-1.3611297922966288,0.017967685417741675,14.31825821485235,0.02177446772512376,6.38913810240797,0.5123526494258572,2.076081821611453e-05,0.49224031362431975,0.0016992850017377714,bond
LONG_TERM,0.002730795495822331,-0.0006983017289851538,-3.309785723038288,0.0008901615130387357,2.9056542491790944,-4.3776635442362095e-05,-0.11988120373486602,0.0826366174131286,115.23436399518047,-0.0007969522532427569,-0.40920266493508073,0.9785531970442636,0.015616203329988032,0.9775846614087992,0.01575997726504419,bond
AAA,0.0027307954958206734,-0.0006983017289851196,-3.3097857230381327,0.0008901615130387354,2.9056542491790998,-4.377663544233733e-05,-0.11988120373479846,0.08263661741312872,115.23436399518091,0.01586971441342421,8.1484548206099,0.9797183381045341,0.017649091612145784,0.9788024201314571,0.017879679883966104,bond
AA,0.0027307954958204995,-0.000698301728985128,-3.309785723038238,0.000890161513038783,2.905654249179312,-4.377663544234384e-05,-0.11988120373481866,0.08263661741312867,115.2343639951831,0.03253638108009066,16.70611230615494,0.9809507281841123,0.019523867772624603,0.9800904648329072,0.019870644889994793,bond
A,0.0027307954958207935,-0.0006983017289851512,-3.3097857230383534,0.0008901615130387205,2.905654249179113,-4.377663544241227e-05,-0.11988120373500623,0.08263661741312923,115.23436399518408,0.04920304774675659,25.26376979169959,0.9822052843096476,0.021216294202707986,0.9814016765968973,0.021700461865338583,bond
BBB,0.0027307954958198173,-0.0006983017289851761,-3.3097857230384364,0.0008901615130388722,2.9056542491795776,-4.3776635442380507e-05,-0.119881203734918,0.08263661741312942,115.23436399518312,0.06586971441342365,33.82142727724445,0.983446083317298,0.022716921400865564,0.9826985099728326,0.02335229656544313,bond
LOW_GRADE,0.0027307954958198793,-0.0006983017289851264,-3.309785723038299,0.0008901615130387523,2.905654249179272,-4.377663544238301e-05,-0.1198812037349284,0.08263661741312918,115.2343639951862,0.08253638108009044,42.37908476279068,0.9846465788534634,0.02402762808307146,0.9839532197762431,0.024821786722829198,bond
