portfolio,type,model,alpha,t_alpha,abs_alpha,significant
A,bond,one_factor,0.15912674243243674,24.962547878494494,0.15912674243243674,True
BBB,bond,one_factor,0.17749712774773707,26.877069840087948,0.17749712774773707,True
LOW_GRADE,bond,one_factor,0.1958675130630374,28.582674365818132,0.1958675130630374,True
SMALL LoBM,stock,two_factor_bond,-1.3748710464029785,-1.2948055061357877,1.3748710464029785,False
ME1 BM2,stock,two_factor_bond,-1.5256224506640015,-1.6536867449665023,1.5256224506640015,False
ME1 BM3,stock,two_factor_bond,-1.666191732852042,-1.9611154395720174,1.666191732852042,False
ME1 BM4,stock,two_factor_bond,-1.2328411564611157,-1.5349426876884056,1.2328411564611157,False
SMALL HiBM,stock,two_factor_bond,-1.0756147224244685,-1.2619299196469873,1.0756147224244685,False
ME2 BM1,stock,two_factor_bond,-1.8030615011773987,-1.818565302738204,1.8030615011773987,False
ME2 BM2,stock,two_factor_bond,-1.8768791222031018,-2.2072576679197207,1.8768791222031018,True
ME2 BM3,stock,two_factor_bond,-1.133646055378517,-1.4596392161078957,1.133646055378517,False
ME2 BM4,stock,two_factor_bond,-1.288159552404071,-1.7895068749941536,1.288159552404071,False
ME2 BM5,stock,two_factor_bond,-0.9503658142437642,-1.1612105540532438,0.9503658142437642,False
ME3 BM1,stock,two_factor_bond,-1.814347214807432,-2.010557438451437,1.814347214807432,True
ME3 BM2,stock,two_factor_bond,-1.8114474231955453,-2.3517522875220966,1.8114474231955453,True
ME3 BM3,stock,two_factor_bond,-1.1918118860029205,-1.6968140008708086,1.1918118860029205,False
ME3 BM4,stock,two_factor_bond,-1.0261319835721132,-1.5425562427490371,1.0261319835721132,False
ME3 BM5,stock,two_factor_bond,-0.9754012206506627,-1.2615744620084923,0.9754012206506627,False
ME4 BM1,stock,two_factor_bond,-1.6111913916861738,-2.0187136008502913,1.6111913916861738,True
ME4 BM2,stock,two_factor_bond,-1.8534224754358135,-2.5382205529560244,1.8534224754358135,True
ME4 BM3,stock,two_factor_bond,-1.5362263480086036,-2.2415389966326256,1.5362263480086036,True
ME4 BM4,stock,two_factor_bond,-0.8696088335907425,-1.3015859942436643,0.8696088335907425,False
ME4 BM5,stock,two_factor_bond,-1.1106516839013112,-1.4541862059047146,1.1106516839013112,False
BIG LoBM,stock,two_factor_bond,-1.0852617637814432,-1.6305229293559884,1.0852617637814432,False
ME5 BM2,stock,two_factor_bond,-1.6169170414720986,-2.54435827639596,1.6169170414720986,True
ME5 BM3,stock,two_factor_bond,-0.9453979539763387,-1.588107387541656,0.9453979539763387,False
ME5 BM4,stock,two_factor_bond,-1.0558408714017053,-1.8084368664103272,1.0558408714017053,False
BIG HiBM,stock,two_factor_bond,-1.3916067089971265,-2.155950841882223,1.3916067089971265,True
SHORT_TERM,bond,two_factor_bond,0.012573898880513044,3.2473167110698764,0.012573898880513044,True
LONG_TERM,bond,two_factor_bond,0.0033834558921934234,1.5261999287038912,0.0033834558921934234,False
AAA,bond,two_factor_bond,0.0033834558921916878,1.5261999287031125,0.0033834558921916878,False
AA,bond,two_factor_bond,0.00338345589219147,1.5261999287030417,0.00338345589219147,False
A,bond,two_factor_bond,0.003383455892191814,1.5261999287032002,0.003383455892191814,False
BBB,bond,two_factor_bond,0.003383455892190784,1.5261999287027135,0.003383455892190784,False
LOW_GRADE,bond,two_factor_bond,0.003383455892190811,1.526199928702775,0.003383455892190811,False
SMALL LoBM,stock,three_factor_stock,-0.3689829175133968,-3.436790947300891,0.3689829175133968,True
ME1 BM2,stock,three_factor_stock,-0.09264250798650284,-1.1738660803054581,0.09264250798650284,False
