portfolio,type,model,alpha,t_alpha,abs_alpha,significant
ME2 BM3,stock,two_factor_bond,-3.743266440264102,-3.313797852270326,3.743266440264102,True
ME2 BM4,stock,two_factor_bond,-3.539239069096509,-3.1951169721926957,3.539239069096509,True
ME2 BM5,stock,two_factor_bond,-3.2767299298205597,-2.7442648179823124,3.2767299298205597,True
ME3 BM1,stock,two_factor_bond,-4.274471262916189,-3.433228601041726,4.274471262916189,True
ME3 BM2,stock,two_factor_bond,-4.179404601482567,-3.6268467705974463,4.179404601482567,True
ME3 BM3,stock,two_factor_bond,-3.5992369316374893,-3.2517492496196625,3.5992369316374893,True
ME3 BM4,stock,two_factor_bond,-3.3710816328380724,-3.3144440313476276,3.3710816328380724,True
ME3 BM5,stock,two_factor_bond,-2.8103848448944153,-2.6324474075481623,2.8103848448944153,True
ME4 BM1,stock,two_factor_bond,-3.218023563880019,-2.881230602898419,3.218023563880019,True
ME4 BM2,stock,two_factor_bond,-3.8436498358239914,-3.4584297078059887,3.8436498358239914,True
ME4 BM3,stock,two_factor_bond,-3.3631159562111606,-3.2609595309382415,3.3631159562111606,True
ME4 BM4,stock,two_factor_bond,-2.952030878398871,-2.7994626559571665,2.952030878398871,True
ME4 BM5,stock,two_factor_bond,-3.170774840756095,-2.7510887955005163,3.170774840756095,True
BIG LoBM,stock,two_factor_bond,-2.3080797691128248,-2.5614578033706636,2.3080797691128248,True
ME5 BM2,stock,two_factor_bond,-2.571806073092604,-2.8176451950012824,2.571806073092604,True
ME5 BM3,stock,two_factor_bond,-2.224414153449332,-2.377983178347026,2.224414153449332,True
ME5 BM4,stock,two_factor_bond,-2.3174768079238675,-2.4293160991091094,2.3174768079238675,True
BIG HiBM,stock,two_factor_bond,-3.7443763121398255,-3.3885334937955243,3.7443763121398255,True
SHORT_TERM,bond,two_factor_bond,0.012573898880513044,3.2473167110698764,0.012573898880513044,True
LONG_TERM,bond,two_factor_bond,0.0033834558921934234,1.5261999287038912,0.0033834558921934234,False
AAA,bond,two_factor_bond,0.0033834558921916878,1.5261999287031125,0.0033834558921916878,False
AA,bond,two_factor_bond,0.00338345589219147,1.5261999287030417,0.00338345589219147,False
A,bond,two_factor_bond,0.003383455892191814,1.5261999287032002,0.003383455892191814,False
BBB,bond,two_factor_bond,0.003383455892190784,1.5261999287027135,0.003383455892190784,False
LOW_GRADE,bond,two_factor_bond,0.003383455892190811,1.526199928702775,0.003383455892190811,False
SMALL LoBM,stock,three_factor_stock,-0.4926216138863802,-2.904192861422046,0.4926216138863802,True
ME1 BM2,stock,three_factor_stock,-0.09373263955164993,-0.7304881853553827,0.09373263955164993,False
ME1 BM3,stock,three_factor_stock,-0.1765842091922031,-1.5453716373477575,0.1765842091922031,False
ME1 BM4,stock,three_factor_stock,-0.030643537581330534,-0.3240192426423546,0.030643537581330534,False
SMALL HiBM,stock,three_factor_stock,-0.0006427104244019172,-0.0061229428533499716,0.0006427104244019172,False
ME2 BM1,stock,three_factor_stock,-0.09747858957233708,-0.625179794018722,0.09747858957233708,False
ME2 BM2,stock,three_factor_stock,-0.11372195329754241,-0.876412364932042,0.11372195329754241,False
ME2 BM3,stock,three_factor_stock,0.023108821154560852,0.21808906180461454,0.023108821154560852,False
ME2 BM4,stock,three_factor_stock,0.15735138245398586,1.4416936824386473,0.15735138245398586,False
ME2 BM5,stock,three_factor_stock,-0.022190865297457188,-0.18290597978041231,0.022190865297457188,False
ME3 BM1,stock,three_factor_stock,-0.13889679833695484,-1.083470798684802,0.13889679833695484,False
ME3 BM2,stock,three_factor_stock,0.28990682137107826,2.4918999850194266,0.28990682137107826,True
ME3 BM3,stock,three_factor_stock,0.09536115655470227,0.7842336225738438,0.09536115655470227,False
ME3 BM4,stock,three_factor_stock,0.09396073804228425,0.8159587506357774,0.09396073804228425,False
ME3 BM5,stock,three_factor_stock,0.17961434400776788,1.5093417458575464,0.17961434400776788,False
ME4 BM1,stock,three_factor_stock,0.10423125034680016,0.9283477504163992,0.10423125034680016,False
ME4 BM2,stock,three_factor_stock,0.010730117821606744,0.08849388326134033,0.010730117821606744,False
ME4 BM3,stock,three_factor_stock,0.09744843731135167,0.8421287639366477,0.09744843731135167,False
ME4 BM4,stock,three_factor_stock,0.05582303038042818,0.424356077194826,0.05582303038042818,False
ME4 BM5,stock,three_factor_stock,0.038438942884319593,0.23222781221223657,0.038438942884319593,False
BIG LoBM,stock,three_factor_stock,0.18778226296878583,2.04830798308034,0.18778226296878583,True
ME5 BM2,stock,three_factor_stock,-0.012421424688271355,-0.12821994736144446,0.012421424688271355,False
ME5 BM3,stock,three_factor_stock,-0.17279204984122892,-1.5792078116608663,0.17279204984122892,False
ME5 BM4,stock,three_factor_stock,-0.12019662340160107,-0.9688122064003801,0.12019662340160107,False
BIG HiBM,stock,three_factor_stock,-0.24019517609790283,-1.4539414277391767,0.24019517609790283,False
SHORT_TERM,bond,three_factor_stock,0.06310022829690207,25.511679090910828,0.06310022829690207,True
LONG_TERM,bond,three_factor_stock,0.11784201755407954,17.21008525742634,0.11784201755407954,True
AAA,bond,three_factor_stock,0.1381406792692819,19.86090924629765,0.1381406792692819,True
AA,bond,three_factor_stock,0.15843934098448467,22.353516856610188,0.15843934098448467,True
A,bond,three_factor_stock,0.17873800269968815,24.676007682218632,0.17873800269968815,True
BBB,bond,three_factor_stock,0.19903666441489157,26.822699481952995,0.19903666441489157,True
LOW_GRADE,bond,three_factor_stock,0.21933532613009457,28.79330321807011,0.21933532613009457,True
SMALL LoBM,stock,five_factor,0.34985017706066746,0.684739429356035,0.34985017706066746,False
